"Year","Value"
191004,-0.3251
191005,-0.3087
191006,-0.4388
191007,-0.3659
191008,-0.373
191009,-0.3737
191010,-0.3869
191011,-0.4999
191012,-0.6068
191101,-0.547
191102,-0.5118
191103,-0.5622
191104,-0.4829
191105,-0.4163
191106,-0.2985
191107,-0.4731
191108,-0.4456
191109,-0.32
191110,-0.3514
191111,-0.2862
191112,-0.3748
191201,-0.4165
191202,-0.1266
191203,-0.5625
191204,-0.2798
191205,-0.265
191206,-0.2582
191207,-0.4047
191208,-0.6384
191209,-0.7098
191210,-0.7363
191211,-0.5377
191212,-0.5087
191301,-0.4708
191302,-0.5545
191303,-0.4617
191304,-0.4468
191305,-0.5015
191306,-0.5222
191307,-0.5433
191308,-0.4355
191309,-0.4338
191310,-0.4012
191311,-0.0972
191312,0.0615
191401,0.2961
191402,-0.0846
191403,-0.1938
191404,-0.3307
191405,-0.1871
191406,-0.2624
191407,-0.3108
191408,-0.2584
191409,-0.2281
191410,-0.1055
191411,-0.206
191412,-0.1552
191501,-0.1322
191502,-0.0277
191503,-0.1586
191504,-0.0233
191505,-0.0861
191506,-0.1095
191507,-0.044
191508,-0.0739
191509,-0.1163
191510,-0.1956
191511,0.0679
191512,0.0878
191601,-0.1258
191602,-0.1317
191603,-0.3948
191604,-0.2043
191605,-0.274
191606,-0.3984
191607,-0.252
191608,-0.2934
191609,-0.352
191610,-0.2851
191611,-0.3625
191612,-0.7093
191701,-0.4453
191702,-0.4725
191703,-0.5304
191704,-0.3675
191705,-0.5016
191706,-0.3705
191707,-0.2274
191708,-0.251
191709,-0.1431
191710,-0.3797
191711,-0.0045
191712,-0.7399
191801,-0.2014
191802,-0.2522
191803,-0.1181
191804,-0.3419
191805,-0.3543
191806,-0.2612
191807,-0.2372
191808,-0.1833
191809,-0.1674
191810,-0.0914
191811,-0.2252
191812,-0.5056
191901,-0.4353
191902,-0.1774
191903,-0.3382
191904,-0.1295
191905,-0.3752
191906,-0.3529
191907,-0.2504
191908,-0.2116
191909,-0.1552
191910,-0.2494
191911,-0.43
191912,-0.3902
192001,-0.0805
192002,-0.2522
192003,-0.0254
192004,-0.2636
192005,-0.1549
192006,-0.2578
192007,-0.211
192008,-0.278
192009,-0.2988
192010,-0.3069
192011,-0.3753
192012,-0.5368
192101,0.1254
192102,-0.1037
192103,-0.071
192104,-0.0525
192105,-0.1172
192106,-0.0873
192107,-0.0406
192108,-0.2069
192109,-0.1318
192110,-0.0221
